rssi_from_min,interrogator_timestamp,doppler_hz,lastseentimestamp,phase_rads,doppler,tagseencount,doppler_by_phase,id,antenna,velocity_by_doppler,absolute_timestamp,epc96,rospecid,doppler_channel,rssi_from_mean,inventoryparameterspecid,phase,velocity_by_phase,channelindex,relative_timestamp,rssi,accessspecid
1.0,1501081574261051,-0.9375,1501081574261051,0.22089323345553233,65521,1,nan,1,1,-0.30796605529701615,2017-05-28 02:15:04,00e200600322f041ef000000,1,-856171875.0,0.43999999999999773,1,144,nan,22,0,-49,0
0.0,1501081574284153,-2.125,1501081574284153,0.20248546400090464,65502,1,-0.0634076595099991,2,1,-0.69805639200657,2017-05-28 02:15:04,00e200600322f041ef000000,1,-1940656250.0,-0.56000000000000227,1,132,-0.020829233893238142,22,23102,-50,0
2.0,1501081574294084,-0.0625,1501081574294084,4.381049130201391,65535,1,nan,3,1,-0.02053107035313441,2017-05-28 02:15:04,00e200600322f10741000000,1,-57078125.0,0.25,1,2856,nan,22,33033,-57,0
0.0,1501081574346223,0.8125,1501081574346223,0.1718058482431918,13,1,nan,4,1,0.2669039145907473,2017-05-28 02:15:04,00e200600322f041ef000000,1,742015625.0,-0.56000000000000227,1,112,nan,22,85172,-50,0
2.0,1501081574361581,-0.1875,1501081574361581,1.2885438618239387,65533,1,nan,5,1,-0.06159321105940323,2017-05-28 02:15:04,00e200600322f10741000000,1,-171234375.0,0.25,1,840,nan,22,100530,-57,0
0.0,1501081574378128,0.375,1501081574378128,0.14112623248547898,6,1,nan,6,1,0.12318642211880645,2017-05-28 02:15:04,00e200600322f041ef000000,1,342468750.0,-0.56000000000000227,1,92,nan,22,117077,-50,0
2.0,1501081574391743,1.5,1501081574391743,1.227184630308513,24,1,nan,7,1,0.4927456884752258,2017-05-28 02:15:04,00e200600322f10741000000,1,1369875000.0,0.25,1,800,nan,22,130692,-57,0
2.0,1501081574438218,1.1875,1501081574438218,4.344233591292136,19,1,5.3372108660570206,8,1,0.3900903367095538,2017-05-28 02:15:04,00e200600322f10741000000,1,1084484375.0,0.25,1,2832,1.753258428488482,22,177167,-57,0
0.0,1501081574447915,-0.625,1501081574447915,0.21475731030398976,65526,1,nan,9,1,-0.2053107035313441,2017-05-28 02:15:04,00e200600322f041ef000000,1,-570781250.0,-0.56000000000000227,1,140,nan,22,186864,-50,0
1.0,1501081574478371,0.75,1501081574478371,6.19728238305799,12,1,nan,10,1,0.24623803009575923,2017-05-28 02:15:04,00e200600322f041ef000000,1,685312500.0,-0.076923076923080203,1,4040,nan,23,217320,-48,0
1.0,1501081574490826,-1.5,1501081574490826,1.6382914814618648,65512,1,nan,11,1,-0.49247606019151846,2017-05-28 02:15:04,00e200600322f10741000000,1,-1370625000.0,0.2083333333333357,1,1068,nan,23,229775,-56,0
1.0,1501081574539417,-0.0625,1501081574539417,6.252505691421874,65535,1,nan,12,1,-0.02051983584131327,2017-05-28 02:15:04,00e200600322f041ef000000,1,-57109375.0,-0.076923076923080203,1,4076,nan,23,278366,-48,0
0.0,1501081574555510,0.0625,1501081574555510,1.509437095279471,1,1,nan,13,1,0.02051983584131327,2017-05-28 02:15:04,00e200600322f10741000000,1,57109375.0,-0.7916666666666643,1,984,nan,23,294459,-57,0
