timedeltaindex,absolute_timestamp,accessspecid,antenna,channelindex,doppler,doppler_by_phase,doppler_channel,doppler_hz,epc96,estimated_rssi,id,interrogator_timestamp,inventoryparameterspecid,lastseentimestamp,phase,phase_rads,prx_moving_parts,relative_timestamp,rospecid,rssi,rssi_delta,rssi_from_mean,rssi_from_min,tagseencount,velocity_by_doppler,velocity_by_phase
00:00:00.289221,2017-06-02 20:49:22,0,1.0,42.0,1,0.0244942812712,57703125.0,0.0625,00e200600322efac42000000,-53.4903334584,18,1502816628774739,1,1502816628774739,1512,2.31937895128,-8.05468591099,289221,1,-56,-11.0,0.390827160996,2.05179336287,1,0.0202946424316,0.00795364288029
00:00:00.336255,2017-06-02 20:49:22,0,1.0,42.0,0,-0.0727246305459,0.0,0.0,00e200600322f10741000000,-47.2749779937,19,1502816628821773,1,1502816628821773,2800,4.29514620608,2.94531408901,336255,1,-45,11.0,-0.810022446819,0.389044890082,1,0.0,-0.0236147259664
00:00:00.354859,2017-06-02 20:49:22,0,1.0,43.0,65528,-0.0727246305459,-461875000.0,-0.5,00e200600322f041ef000000,-49.269832554,20,1502816628840377,1,1502816628840377,764,1.17196132194,-2.04528050779,354859,1,-50,-5.0,0.706790709206,2.15295376383,1,-0.162269260081,-0.0236147259664
00:00:00.364609,2017-06-02 20:49:22,0,1.0,43.0,14,-0.0808038078374,808281250.0,0.875,00e200600322efac42000000,-54.1966570679,21,1502816628850127,1,1502816628850127,1312,2.01258279371,-8.04528050779,364609,1,-56,-6.0,-0.0805802961485,2.23759972254,1,0.283971205142,-0.026223948219
00:00:00.385073,2017-06-02 20:49:22,0,1.0,43.0,1,-0.0808038078374,57734375.0,0.0625,00e200600322f041ef000000,-51.1244908723,22,1502816628870591,1,1502816628870591,744,1.14128170619,-2.04528050779,385073,1,-50,6.0,-1.14786760901,0.298295445609,1,0.0202836575101,-0.026223948219
00:00:00.396875,2017-06-02 20:49:22,0,1.0,43.0,0,-0.0808038078374,0.0,0.0,00e200600322f10741000000,-45.9090015757,23,1502816628882393,1,1502816628882393,2580,3.95767043274,3.95471949221,396875,1,-44,6.0,0.44996124944,2.05010275099,1,0.0,-0.026223948219
00:00:00.410395,2017-06-02 20:49:22,0,1.0,43.0,1,-0.0106644225309,57734375.0,0.0625,00e200600322efac42000000,-53.2961251214,24,1502816628895913,1,1502816628895913,1308,2.00644687055,-8.04528050779,410395,1,-56,-12.0,0.819951650395,3.13813166908,1,0.0202836575101,-0.00346101590657
00:00:00.454117,2017-06-02 20:49:22,0,1.0,43.0,65533,-0.204722930715,-173203125.0,-0.1875,00e200600322f10741000000,-46.490889219,25,1502816628939635,1,1502816628939635,2484,3.81040827711,3.95471949221,454117,1,-44,12.0,-0.131926393869,1.46821510768,1,-0.0608509725304,-0.0664404769776
00:00:00.467357,2017-06-02 20:49:22,0,1.0,43.0,8,-0.0237363886053,461875000.0,0.5,00e200600322f041ef000000,-49.0597366001,26,1502816628952875,1,1502816628952875,728,1.11673801358,-2.04528050779,467357,1,-50,-6.0,0.916886663166,2.36304971779,1,0.162269260081,-0.00770337243197
00:00:00.477207,2017-06-02 20:49:22,0,1.0,43.0,65535,0.0438497201102,-57734375.0,-0.0625,00e200600322efac42000000,-54.1403620267,27,1502816628962725,1,1502816628962725,1332,2.04326240946,-8.04528050779,477207,1,-56,-6.0,-0.0242852549518,2.29389476373,1,-0.0202836575101,0.0142309232741
00:00:00.494009,2017-06-02 20:49:22,0,1.0,43.0,6,-6.09555957335,346406250.0,0.375,00e200600322f10741000000,-46.717101816,28,1502816628979527,1,1502816628979527,492,0.75471854764,3.95471949221,494009,1,-44,12.0,-0.358138990877,1.24200251068,1,0.121701945061,-1.9782438835
00:00:00.507373,2017-06-02 20:49:22,0,1.0,43.0,9,0.0,519609375.0,0.5625,00e200600322f041ef000000,-49.1203500828,29,1502816628992891,1,1502816628992891,728,1.11673801358,-2.04528050779,507373,1,-50,-6.0,0.85627318048,2.3024362351,1,0.182552917591,0.0
00:00:00.517155,2017-06-02 20:49:22,0,1.0,43.0,65534,-0.0488916841894,-115468750.0,-0.125,00e200600322efac42000000,-54.1566033605,30,1502816629002673,1,1502816629002673,1316,2.01871871686,-8.04528050779,517155,1,-56,-6.0,-0.040526588688,2.27765343,1,-0.0405673150203,-0.0158672348351
00:00:00.564586,2017-06-02 20:49:22,0,1.0,44.0,35,-0.0488916841894,2021796875.0,2.1875,00e200600322efac42000000,-54.7740125515,31,1502816629050104,1,1502816629050104,3220,4.93941813699,-7.0358801941,564586,1,-55,1.0,-1.0329795525,0.729445269522,1,0.709543956586,-0.0158672348351
00:00:00.574604,2017-06-02 20:49:22,0,1.0,44.0,65534,-0.0488916841894,-115531250.0,-0.125,00e200600322f10741000000,-46.8868879624,32,1502816629060122,1,1502816629060122,168,0.257708772365,3.9641198059,574604,1,-44,11.0,-0.414405108736,0.926819061565,1,-0.0405453689478,-0.0158672348351
00:00:00.584307,2017-06-02 20:49:22,0,1.0,44.0,65535,-0.0849125712994,-57765625.0,-0.0625,00e200600322f041ef000000,-49.1658441436,33,1502816629069825,1,1502816629069825,2636,4.04357335687,-2.0358801941,584307,1,-50,-6.0,0.505683036963,2.24764220893,1,-0.0202726844739,-0.0275424922531
00:00:00.603356,2017-06-02 20:49:22,0,1.0,44.0,4,-0.0849125712994,231062500.0,0.25,00e200600322f10741000000,-45.3841837665,34,1502816629088874,1,1502816629088874,148,0.227029156607,3.9641198059,603356,1,-44,6.0,1.08829908719,2.42952325749,1,0.0810907378956,-0.0275424922531
00:00:00.614922,2017-06-02 20:49:22,0,1.0,44.0,65530,0.184308323069,-346593750.0,-0.375,00e200600322efac42000000,-52.4234498057,35,1502816629100440,1,1502816629100440,3296,5.05600067687,-7.0358801941,614922,1,-55,-11.0,1.31758319337,3.08000801539,1,-0.121636106843,0.0597827916718
00:00:00.624626,2017-06-02 20:49:22,0,1.0,44.0,1,-0.012110450408,57765625.0,0.0625,00e200600322f041ef000000,-50.6493614183,36,1502816629110144,1,1502816629110144,2632,4.03743743372,-2.0358801941,624626,1,-50,5.0,-0.977834237778,0.76412493419,1,0.0202726844739,-0.00392818143933
00:00:00.673749,2017-06-02 20:49:22,0,1.0,44.0,65529,-5.05944580441,-404359375.0,-0.4375,00e200600322f041ef000000,-50.1739958676,37,1502816629159267,1,1502816629159267,596,0.91425254958,-2.0358801941,673749,1,-50,0.0,-0.502468687088,1.23949048488,1,-0.141908791317,-1.64109677449
00:00:00.685568,2017-06-02 20:49:22,0,1.0,44.0,65530,-0.0118785882839,-346593750.0,-0.375,00e200600322f10741000000,-45.6543172068,38,1502816629171086,1,1502816629171086,140,0.214757310304,3.9641198059,685568,1,-44,6.0,0.818165646885,2.15938981719,1,-0.121636106843,-0.00385297395641
00:00:00.697307,2017-06-02 20:49:22,0,1.0,44.0,3,-0.0118536444741,173296875.0,0.1875,00e200600322efac42000000,-52.4958318428,39,1502816629182825,1,1502816629182825,3288,5.04372883057,-7.0358801941,697307,1,-55,-11.0,1.24520115619,3.00762597821,1,0.0608180534217,-0.00384488310863
00:00:00.712235,2017-06-02 20:49:22,0,1.0,44.0,65535,6.48318138414,-57765625.0,-0.0625,00e200600322f041ef000000,-50.6687561267,40,1502816629197753,1,1502816629197753,2640,4.04970928002,-2.0358801941,712235,1,-50,5.0,-0.997228946186,0.744730225782,1,-0.0202726844739,2.1029038494
00:00:00.722158,2017-06-02 20:49:22,0,1.0,44.0,1,-0.0266893276852,57765625.0,0.0625,00e200600322f10741000000,-45.7868878187,41,1502816629207676,1,1502816629207676,132,0.202485464001,3.9641198059,722158,1,-44,6.0,0.685595035013,2.02681920531,1,0.0202726844739,-0.00865702910371
00:00:00.735731,2017-06-02 20:49:22,0,1.0,44.0,65535,0.0762462913804,-57765625.0,-0.0625,00e200600322efac42000000,-53.2634048388,42,1502816629221249,1,1502816629221249,3312,5.08054436948,-8.0358801941,735731,1,-56,-12.0,0.477628160233,2.24005298225,1,-0.0202726844739,0.0247314721194
00:00:00.786942,2017-06-02 20:49:22,0,1.0,45.0,7,0.0762462913804,404578125.0,0.4375,00e200600322efac42000000,-55.2667315365,43,1502816629272460,1,1502816629272460,964,1.47875747952,-8.02648496441,786942,1,-56,0.0,-1.24125875457,0.985232030527,1,0.141832063125,0.0247314721194
00:00:00.796639,2017-06-02 20:49:22,0,1.0,45.0,0,0.0762462913804,0.0,0.0,00e200600322f041ef000000,-51.411216462,44,1502816629282157,1,1502816629282157,384,0.589048622548,-2.02648496441,796639,1,-50,6.0,-1.40807462887,0.263992126937,1,0.0,0.0247314721194
00:00:00.808405,2017-06-02 20:49:22,0,1.0,45.0,8,0.155693654674,462375000.0,0.5,00e200600322f10741000000,-45.9858294659,45,1502816629293923,1,1502816629293923,12,0.0184077694546,3.97351503559,808405,1,-44,6.0,0.329582797873,1.54861407685,1,0.162093786429,0.0504739480181
00:00:00.827222,2017-06-02 20:49:22,0,1.0,45.0,2,0.155693654674,115593750.0,0.125,00e200600322f10741000000,-44.5321014017,46,1502816629312740,1,1502816629312740,36,0.0552233083639,3.97351503559,827222,1,-44,0.0,1.78331086209,3.00234214107,1,0.0405234466072,0.0504739480181
