rssi_from_min,interrogator_timestamp,phase_cos_rads,doppler_hz,lastseentimestamp,phase_rads,doppler,tagseencount,doppler_by_phase,id,antenna,prx_moving_parts,velocity_by_doppler,absolute_timestamp,epc96,rospecid,prx_moving_parts_deoscillated,doppler_channel,rssi_from_mean,inventoryparameterspecid,phase,velocity_by_phase,channelindex,relative_timestamp,rssi,accessspecid
2.0,1477939113403254,0.9435934581619604,1.4375,1477939113403254,0.3374757733348411,23,1,nan,1,1,23.558813931795978,0.4688774123403099,2016-10-31 18:34:58,00e200600319965584000000,1,23.70309781651334,1322140625.0,0.9529411764705884,1,220,nan,35,0,-45,0
2.0,1477939113424320,0.9215140393420419,-0.6875,1477939113424320,0.3988350048502667,65525,1,0.23178640938004355,2,1,23.558813931795978,-0.2242457189453656,2016-10-31 18:34:58,00e200600319965584000000,1,23.70309781651334,-632328125.0,0.9529411764705884,1,260,0.07560306911009847,35,21066,-45,0
1.0,1477939113436306,0.9514350209690083,0.9375,1477939113436306,0.3129320807286708,15,1,-0.5703268396462539,3,1,24.558813931795985,0.3057896167436803,2016-10-31 18:34:58,00e200600319965584000000,1,24.703097816513345,862265625.0,-0.0470588235294116,1,204,-0.18602669409499992,35,33052,-46,0
1.0,1477939113445564,0.9551411683057707,-2.5625,1477939113445564,0.30066023442558565,65495,1,-0.1054830957010155,4,1,24.558813931795985,-0.8358249524327263,2016-10-31 18:34:58,00e200600319965584000000,1,24.703097816513345,-2356859375.0,-0.0470588235294116,1,196,-0.03440601110117385,35,42310,-46,0
1.0,1477939113475644,0.937339011912575,-0.6875,1477939113475644,0.35588354278946877,65525,1,0.1460947888962767,5,1,24.558813931795985,-0.2242457189453656,2016-10-31 18:34:58,00e200600319965584000000,1,24.703097816513345,-632328125.0,-0.0470588235294116,1,232,0.04765255413849743,35,72390,-46,0
1.0,1477939113490728,-0.9415440651830208,0.6875,1477939113490728,3.485204350076177,11,1,16.50911147573588,6,1,24.558813931795985,0.2242457189453656,2016-10-31 18:34:58,00e200600319965584000000,1,24.703097816513345,632328125.0,-0.0470588235294116,1,2272,5.384869195673568,35,87474,-46,0
1.0,1477939113504025,0.937339011912575,5.1875,1477939113504025,0.35588354278946877,83,1,-18.727791043092427,7,1,24.558813931795985,1.6920358793150312,2016-10-31 18:34:58,00e200600319965584000000,1,24.703097816513345,4771203125.0,-0.0470588235294116,1,232,-6.108548315224494,35,100771,-46,0
0.0,1477939113621578,0.6715589548470183,-1.1875,1477939113621578,5.448699758569798,65517,1,nan,8,1,24.56825511641757,-0.3871230643846781,2016-10-31 18:34:58,00e200600319965584000000,1,24.70292007548711,-1092796875.0,-0.4213836477987414,1,3552,nan,36,218324,-46,0
0.0,1477939113631221,0.5857978574564388,-0.6875,1477939113631221,5.338253141842031,65525,1,-0.9114448304469571,9,1,24.56825511641757,-0.2241238793806031,2016-10-31 18:34:58,00e200600319965584000000,1,24.70292007548711,-632671875.0,-0.4213836477987414,1,3480,-0.2971295290780626,36,227967,-46,0
0.0,1477939113642793,0.6391244448637756,-2.75,1477939113642793,5.405748296509,65492,1,0.464145674904943,10,1,24.56825511641757,-0.8964955175224124,2016-10-31 18:34:58,00e200600319965584000000,1,24.70292007548711,-2530687500.0,-0.4213836477987414,1,3524,0.1513107334653441,36,239539,-46,0
0.0,1477939113655483,0.570780745886967,2.3125,1477939113655483,5.3198453723874035,37,1,-0.5386869582348315,11,1,24.56825511641757,0.7538712306438468,2016-10-31 18:34:58,00e200600319965584000000,1,24.70292007548711,2128078125.0,-0.4213836477987414,1,3468,-0.17561107032920342,36,252229,-46,0
0.0,1477939113667024,0.5956993044924328,4.25,1477939113667024,5.350524988145116,68,1,0.21154200242613072,12,1,24.56825511641757,1.3854930725346373,2016-10-31 18:34:58,00e200600319965584000000,1,24.70292007548711,3911062500.0,-0.4213836477987414,1,3488,0.06896234797917872,36,263770,-46,0
0.0,1477939113680295,0.6343932841636456,-0.6875,1477939113680295,5.399612373357457,65525,1,0.2943448119960861,13,1,24.56825511641757,-0.2241238793806031,2016-10-31 18:34:58,00e200600319965584000000,1,24.70292007548711,-632671875.0,-0.4213836477987414,1,3520,0.0959559289310794,36,277041,-46,0
0.0,1477939113697259,0.6895405447370668,-2.5625,1477939113697259,5.473243451175968,65495,1,0.34540055411459447,14,1,24.56825511641757,-0.8353708231458843,2016-10-31 18:34:58,00e200600319965584000000,1,24.70292007548711,-2358140625.0,-0.4213836477987414,1,3568,0.11260001764126959,36,294005,-46,0
0.0,1477939113715427,0.648514401022112,1.4375,1477939113715427,5.418020142812084,23,1,-0.24188304986790166,15,1,24.56825511641757,0.46862265688671556,2016-10-31 18:34:58,00e200600319965584000000,1,24.70292007548711,1322859375.0,-0.4213836477987414,1,3532,-0.078853479989536,36,312173,-46,0
0.0,1477939113740752,0.6248594881423861,-1.1875,1477939113740752,5.387340527054372,65517,1,-0.09640301085883411,16,1,24.56825511641757,-0.3871230643846781,2016-10-31 18:34:58,00e200600319965584000000,1,24.70292007548711,-1092796875.0,-0.4213836477987414,1,3512,-0.0314272244038579,36,337498,-46,0
0.0,1477939113758180,0.6200572117632891,5.1875,1477939113758180,5.381204603902829,83,1,-0.028017055887077157,17,1,24.56825511641757,1.691116544417278,2016-10-31 18:34:58,00e200600319965584000000,1,24.70292007548711,4773796875.0,-0.4213836477987414,1,3508,-0.009133514551614395,36,354926,-46,0
0.0,1477939113768960,0.6200572117632891,1.1875,1477939113768960,5.381204603902829,19,1,0.0,18,1,24.56825511641757,0.3871230643846781,2016-10-31 18:34:58,00e200600319965584000000,1,24.70292007548711,1092796875.0,-0.4213836477987414,1,3508,0.0,36,365706,-46,0
0.0,1477939113780978,0.7114321957452161,0.1875,1477939113780978,5.50392306693368,3,1,0.8125832085205499,19,1,24.56825511641757,0.061124694376528114,2016-10-31 18:34:59,00e200600319965584000000,1,24.70292007548711,172546875.0,-0.4213836477987414,1,3588,0.2649008014736919,36,377724,-46,0
0.0,1477939113787788,0.6578066932970785,0.1875,1477939113787788,5.43029198911517,3,1,-0.8604074889867811,20,1,24.56825511641757,0.061124694376528114,2016-10-31 18:34:59,00e200600319965584000000,1,24.70292007548711,172546875.0,-0.4213836477987414,1,3540,-0.2804914389524959,36,384534,-46,0
0.0,1477939113807320,0.4659764957679661,-0.6875,1477939113807320,1.086058397823034,65525,1,nan,21,1,24.57769117274742,-0.22400217214227533,2016-10-31 18:34:59,00e200600319965584000000,1,24.702737206169136,-633015625.0,-0.8578947368421055,1,708,nan,37,404066,-46,0
0.0,1477939113814968,0.4220002707997998,0.9375,1477939113814968,1.1351457830353744,15,1,0.5107544456066927,22,1,24.57769117274742,0.30545750746673905,2016-10-31 18:34:59,00e200600319965584000000,1,24.702737206169136,863203125.0,-0.8578947368421055,1,740,0.16641469854141497,37,411714,-46,0
0.0,1477939113825740,0.3996241998456468,-0.1875,1477939113825740,1.1596894756415448,65533,1,0.18131498329001217,23,1,24.57769117274742,-0.06109150149334781,2016-10-31 18:34:59,00e200600319965584000000,1,24.702737206169136,-172640625.0,-0.8578947368421055,1,756,0.05907629105294993,37,422486,-46,0
0.0,1477939113839971,0.4220002707997998,-0.9375,1477939113839971,1.1351457830353744,65521,1,-0.13724439603682181,24,1,24.57769117274742,-0.30545750746673905,2016-10-31 18:34:59,00e200600319965584000000,1,24.702737206169136,-863203125.0,-0.8578947368421055,1,740,-0.0447171532023313,37,436717,-46,0
