rssi_from_min,interrogator_timestamp,phase_cos_rads,doppler_hz,lastseentimestamp,phase_rads,doppler,tagseencount,doppler_by_phase,id,antenna,prx_moving_parts,velocity_by_doppler,absolute_timestamp,epc96,rospecid,prx_moving_parts_deoscillated,doppler_channel,rssi_from_mean,inventoryparameterspecid,phase,velocity_by_phase,channelindex,relative_timestamp,rssi,accessspecid
1.0,1477949010719688,0.6715589548470183,4.0,1477949010719688,5.448699758569798,64,1,nan,1,1,26.530459552362657,1.3068336509665124,2016-10-31 21:18:27,2015cccc0000000000000003,1,26.703600214023492,3673000000.0,0.5581395348837219,1,3552,nan,32,0,-48,0
1.0,1477949010733429,-0.4605387109582399,4.5,1477949010733429,4.23378697456437,72,1,nan,2,1,23.53045955236265,1.4701878573373264,2016-10-31 21:18:27,00e200600319965584000000,1,23.703600214023485,4132125000.0,0.4230769230769198,1,2760,nan,32,13741,-45,0
0.0,1477949010737234,-0.6485144010221124,4.875,1477949010737234,2.2764274892222915,78,1,14.099357749028448,3,1,27.530459552362654,1.592703512115437,2016-10-31 21:18:27,2015cccc0000000000000003,1,27.70360021402349,4476468750.0,-0.4418604651162781,1,1484,4.606378790861458,32,17546,-49,0
1.0,1477949010756097,0.6760927035753157,-2.875,1477949010756097,5.45483568172134,65490,1,13.408773127286223,4,1,26.530459552362657,-0.9392866866321807,2016-10-31 21:18:27,2015cccc0000000000000003,1,26.703600214023492,-2639968750.0,0.5581395348837219,1,3556,4.380758985228279,32,36409,-48,0
1.0,1477949010760015,-0.32531029216226326,-1.6875,1477949010760015,4.381049130201391,65509,1,0.4404815651329632,5,1,23.53045955236265,-0.5513204465014974,2016-10-31 21:18:27,00e200600319965584000000,1,23.703600214023485,-1549546875.0,0.4230769230769198,1,2856,0.14390903298653848,32,40327,-45,0
1.0,1477949010775209,0.6715589548470183,-1.3125,1477949010775209,5.448699758569798,65515,1,-0.02553073743072532,6,1,26.530459552362657,-0.42880479172338687,2016-10-31 21:18:27,2015cccc0000000000000003,1,26.703600214023492,-1205203125.0,0.5581395348837219,1,3552,-0.008341106702115542,32,55521,-48,0
1.0,1477949010779106,0.33110630575987643,-2.0625,1477949010779106,1.2333205534600555,65503,1,13.06055758627402,7,1,23.53045955236265,-0.6738361012796079,2016-10-31 21:18:27,00e200600319965584000000,1,23.703600214023485,-1893890625.0,0.4230769230769198,1,804,4.266994038532214,32,59418,-45,0
1.0,1477949010792080,-0.7027547444572251,-2.625,1477949010792080,2.350058567040802,65494,1,-14.605621727040544,8,1,26.530459552362657,-0.8576095834467737,2016-10-31 21:18:27,2015cccc0000000000000003,1,26.703600214023492,-2410406250.0,0.5581395348837219,1,1532,-4.771779491546053,32,72392,-48,0
1.0,1477949010797567,-0.34841868024943484,3.75,1477949010797567,4.356505437595221,60,1,13.45340003098452,9,1,23.53045955236265,1.2251565477811053,2016-10-31 21:18:27,00e200600319965584000000,1,23.703600214023485,3443437500.0,0.4230769230769198,1,2840,4.395338970101123,32,77879,-45,0
1.0,1477949010811958,-0.6531728429537765,-3.5,1477949010811958,2.282563412373834,65480,1,-0.2700159971594958,10,1,26.530459552362657,-1.1434794445956984,2016-10-31 21:18:27,2015cccc0000000000000003,1,26.703600214023492,-3213875000.0,0.5581395348837219,1,1488,-0.08821649784682684,32,92270,-48,0
1.0,1477949010815857,0.4659764957679661,5.4375,1477949010815857,1.086058397823034,87,1,13.09897407348477,11,1,23.53045955236265,1.7764769942826029,2016-10-31 21:18:27,00e200600319965584000000,1,23.703600214023485,4992984375.0,0.4230769230769198,1,708,4.279545028091948,32,96169,-45,0
1.0,1477949010825299,-0.38834504669882663,5.0,1477949010825299,4.313553975534423,80,1,27.201433753442068,12,1,23.53045955236265,1.6335420637081406,2016-10-31 21:18:27,00e200600319965584000000,1,23.703600214023485,4591250000.0,0.4230769230769198,1,2812,8.886937245883605,32,105611,-45,0
1.0,1477949010829832,0.5657318107836131,4.875,1477949010829832,5.313709449235861,78,1,13.485737169372532,13,1,26.530459552362657,1.592703512115437,2016-10-31 21:18:27,2015cccc0000000000000003,1,26.703600214023492,4476468750.0,0.5581395348837219,1,3464,4.405903785256477,32,110144,-48,0
1.0,1477949010842423,0.6939714608896537,1.8125,1477949010842423,5.47937937432751,29,1,1.0470648677626855,14,1,26.530459552362657,0.5921589980942009,2016-10-31 21:18:27,2015cccc0000000000000003,1,26.703600214023492,1664328125.0,0.5581395348837219,1,3572,0.3420849009842697,32,122735,-48,0
1.0,1477949010847145,-0.27262135544994887,-0.6875,1477949010847145,4.4362724385652745,65525,1,0.4467119415692058,15,1,23.53045955236265,-0.22461203375986932,2016-10-31 21:18:27,00e200600319965584000000,1,23.703600214023485,-631296875.0,0.4230769230769198,1,2892,0.14594454938280615,32,127457,-45,0
1.0,1477949010871135,0.3713171939518376,0.4375,1477949010871135,1.1903690913992575,7,1,10.074998697373907,16,1,23.53045955236265,0.1429349305744623,2016-10-31 21:18:27,00e200600319965584000000,1,23.703600214023485,401734375.0,0.4230769230769198,1,776,3.2915868327929996,32,151447,-45,0
0.0,1477949010875909,0.7114321957452161,-4.875,1477949010875909,5.50392306693368,65458,1,0.05828626336690437,17,1,27.530459552362654,-1.592703512115437,2016-10-31 21:18:27,2015cccc0000000000000003,1,27.70360021402349,-4476468750.0,-0.4418604651162781,1,3588,0.019042612589241833,32,156221,-49,0
0.0,1477949010888678,0.600616479383869,7.3125,1477949010888678,5.356660911296659,117,1,-0.9177500195786641,18,1,27.530459552362654,2.3890552681731556,2016-10-31 21:18:27,2015cccc0000000000000003,1,27.70360021402349,6714703125.0,-0.4418604651162781,1,3492,-0.29983665219014344,32,168990,-49,0
