rssi_from_min,interrogator_timestamp,phase_cos_rads,doppler_hz,lastseentimestamp,phase_rads,doppler,tagseencount,doppler_by_phase,id,antenna,prx_moving_parts,velocity_by_doppler,absolute_timestamp,epc96,rospecid,prx_moving_parts_deoscillated,doppler_channel,rssi_from_mean,inventoryparameterspecid,phase,velocity_by_phase,channelindex,relative_timestamp,rssi,accessspecid
7.0,1467299827809450,-0.6806009977954532,-0.5625,1467299827809450,3.9638063558964967,65527,1,1.5301825446568422,32,1,27.699895751695308,-0.1819897546508493,2016-06-30 15:13:13,00e200600319961ccc000000,1,27.69989575169531,-521578125.0,2.9968847352024923,1,2584,0.49507119266330835,50,145193,-49,0
7.0,1467299827813293,0.7691033376455797,16.75,1467299827813293,0.6933593161243098,268,1,62.38514018995578,33,1,27.699895751695308,5.41925047182529,2016-06-30 15:13:13,00e200600319961ccc000000,1,27.69989575169531,15531437500.0,2.9968847352024923,1,452,20.1839224124958,50,149036,-49,0
7.0,1467299827817664,0.7071067811865476,8.1875,1467299827817664,0.7853981633974483,131,1,1.6756391557995887,34,1,27.699895751695308,2.6489619843623617,2016-06-30 15:13:13,00e200600319961ccc000000,1,27.69989575169531,7591859375.0,2.9968847352024923,1,512,0.5421318379507971,50,153407,-49,0
7.0,1467299827821393,0.6485144010221126,2.125,1467299827821393,0.8651651643675016,34,1,1.7022408822740671,35,1,27.699895751695308,0.6875168509032085,2016-06-30 15:13:13,00e200600319961ccc000000,1,27.69989575169531,1970406250.0,2.9968847352024923,1,564,0.5507384898163603,50,157136,-49,0
7.0,1467299827825771,0.6983762494089729,1.5,1467299827825771,0.7976700097005334,24,1,-1.2268373115577889,36,1,27.699895751695308,0.4853060124022648,2016-06-30 15:13:13,00e200600319961ccc000000,1,27.69989575169531,1390875000.0,2.9968847352024923,1,520,-0.39692768235895026,50,161514,-49,0
9.0,1467299827830272,-0.5504579729366047,-1.5,1467299827830272,2.1537090261914402,65512,1,23.974707009553434,37,1,25.699895751695308,-0.4853060124022648,2016-06-30 15:13:13,00e200600319961ccc000000,1,25.69989575169531,-1390875000.0,4.9968847352024923,1,1404,7.756712971546001,50,166015,-47,0
9.0,1467299827833552,0.5349976198870969,2.6875,1467299827833552,5.2768939103266055,43,1,75.77291349085365,38,1,25.699895751695308,0.8695066055540577,2016-06-30 15:13:13,00e200600319961ccc000000,1,25.69989575169531,2491984375.0,4.9968847352024923,1,3440,24.515366996231972,50,169295,-47,0
9.0,1467299827837974,-0.555570233019602,-1.5,1467299827837974,2.1598449493429825,65512,1,-56.09382066938037,39,1,25.699895751695308,-0.4853060124022648,2016-06-30 15:13:13,00e200600319961ccc000000,1,25.69989575169531,-1390875000.0,4.9968847352024923,1,1408,-18.14844561964315,50,173717,-47,0
10.0,1467299827841391,0.5245896826784691,5.4375,1467299827841391,5.264622064023521,87,1,72.30620793093357,40,1,24.699895751695312,1.7592342949582098,2016-06-30 15:13:13,00e200600319961ccc000000,1,24.699895751695312,5041921875.0,5.9968847352024923,1,3432,23.393758295260255,50,177134,-46,0
9.0,1467299827845513,-0.5401714727298929,0.0,1467299827845513,2.141437179888355,0,1,-60.294797731683666,41,1,25.699895751695308,0.0,2016-06-30 15:13:13,00e200600319961ccc000000,1,25.69989575169531,0.0,4.9968847352024923,1,1396,-19.507618570509678,50,181256,-47,0
