rssi_from_min,interrogator_timestamp,phase_cos_rads,doppler_hz,lastseentimestamp,phase_rads,doppler,tagseencount,doppler_by_phase,id,antenna,prx_moving_parts,velocity_by_doppler,absolute_timestamp,epc96,rospecid,prx_moving_parts_deoscillated,doppler_channel,rssi_from_mean,inventoryparameterspecid,phase,velocity_by_phase,channelindex,relative_timestamp,rssi,accessspecid
4.0,1467299685972671,0.17700422041214886,18.0,1467299685972671,1.3928545554001621,288,1,nan,1,1,28.282763411231365,5.965202982601491,2016-06-30 15:10:38,00e200600319961ccc000000,1,28.705996139735625,16294500000.0,1.1690821256038646,1,908,nan,6,0,-50,0
4.0,1467299685977363,0.4496113296546066,-157.75,1467299685977363,1.1044661672776617,63012,1,-4.891137841005966,2,1,28.282763411231365,-52.27837613918807,2016-06-30 15:10:38,00e200600319961ccc000000,1,28.705996139735625,-142803187500.0,1.1690821256038646,1,720,-1.6209238909713226,6,4692,-50,0
4.0,1467299685981605,0.13458070850712622,4.875,1467299685981605,1.4358060174609601,78,1,6.215744342291371,3,1,28.282763411231365,1.6155758077879039,2016-06-30 15:10:38,00e200600319961ccc000000,1,28.705996139735625,4413093750.0,1.1690821256038646,1,936,2.059898704984713,6,8934,-50,0
4.0,1467299685984944,0.18303988795514106,16.125,1467299685984944,1.3867186322486196,258,1,-1.1698861934711005,4,1,28.282763411231365,5.343827671913836,2016-06-30 15:10:38,00e200600319961ccc000000,1,28.705996139735625,14597156250.0,1.1690821256038646,1,904,-0.3877004783665619,6,12273,-50,0
7.0,1467299685988981,0.9621214042690416,2.125,1467299685988981,6.007068765360171,34,1,91.07648780034678,5,1,25.282763411231368,0.704225352112676,2016-06-30 15:10:38,00e200600319961ccc000000,1,25.70599613973563,1923656250.0,4.1690821256038646,1,3916,30.182763148416498,6,16310,-47,0
4.0,1467299685994296,0.12849811079379322,-14.625,1467299685994296,1.4419419406125027,65302,1,25.723189087488233,6,1,28.282763411231365,-4.846727423363712,2016-06-30 15:10:38,00e200600319961ccc000000,1,28.705996139735625,-13239281250.0,1.1690821256038646,1,940,8.524669125928163,6,21625,-50,0
4.0,1467299685998196,0.01840672990580482,-1.5,1467299685998196,1.552388557340269,65512,1,2.2536057692307705,7,1,28.282763411231365,-0.4971002485501243,2016-06-30 15:10:38,00e200600319961ccc000000,1,28.705996139735625,-1357875000.0,1.1690821256038646,1,1012,0.7468453253457401,6,25525,-50,0
4.0,1467299686001136,0.049067674327418126,-1.5,1467299686001136,1.521708941582556,65512,1,-0.8304102891156494,8,1,28.282763411231365,-0.4971002485501243,2016-06-30 15:10:38,00e200600319961ccc000000,1,28.705996139735625,-1357875000.0,1.1690821256038646,1,992,-0.2751981074119799,6,28465,-50,0
4.0,1467299686005035,0.07968243797143013,9.125,1467299686005035,1.4910293258248433,146,1,-0.6261621569633219,9,1,28.282763411231365,3.024026512013256,2016-06-30 15:10:38,00e200600319961ccc000000,1,28.705996139735625,8260406250.0,1.1690821256038646,1,972,-0.20751024257276615,6,32364,-50,0
4.0,1467299686010519,0.09801714032956077,0.0,1467299686010519,1.4726215563702154,0,1,-0.26711228118162156,10,1,28.282763411231365,0.0,2016-06-30 15:10:38,00e200600319961ccc000000,1,28.705996139735625,0.0,1.1690821256038646,1,960,-0.0885210542441165,6,37848,-50,0
4.0,1467299686014185,0.07968243797143013,7.0,1467299686014185,1.4910293258248433,112,1,0.3995754909983668,11,1,28.282763411231365,2.31980115990058,2016-06-30 15:10:38,00e200600319961ccc000000,1,28.705996139735625,6336750000.0,1.1690821256038646,1,972,0.13241938392655073,6,41514,-50,0
